"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Ledaig 42yo Old Dusgadh","9.48","0.27","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.27","0.29","12","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Greedy Angels (8yo and 10yo)","9.20","0.19","6","$$$$$+","SingleMalt-like","ABC","C","India","Malt"
"Highland Park 25yo","9.17","0.24","13","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.17","0.44","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut Spectrum","9.16","0.22","8","$$$$$","SingleMalt-like","ABC","C","India","Malt"
"Laphroaig 25yo","9.16","0.30","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Balvenie TUN 1401 (all 8 batches)","9.15","0.29","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 30yo","9.15","0.41","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 25yo","9.14","0.26","9","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Yamazaki 18yo","9.14","0.21","20","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 49)","9.13","0.07","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast 21yo","9.13","0.31","14","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 33)","9.12","0.12","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Solist Sherry Cask","9.12","0.34","14","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Sheep Dip Old Hebridean 1990 Blended Malt","9.12","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 37)","9.11","0.08","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Nikka Single Cask Coffey Malt 12yo","9.11","0.48","9","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 40)","9.10","0.15","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 18yo Albariza Pedro Ximenez Peated","9.10","0.21","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist PX Cask","9.10","0.13","3","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Highland Park 16yo Odin","9.09","0.25","7","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 18yo","9.08","0.22","23","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Yamazaki Sherry Cask (all vintages)","9.08","0.29","11","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Kilchoman Port Cask Matured","9.07","0.19","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 53)","9.06","0.05","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore Springtide","9.06","0.77","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 1)","9.06","0.27","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 39)","9.04","0.23","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (batch 2)","9.04","0.10","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Loki","9.04","0.23","15","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 10yo Cask Strength (100 proof)","9.03","0.15","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach vintage 20yo Single Cask (all vintages)","9.02","0.37","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 35)","9.01","0.23","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie TUN 1509 (all 3 batches)","9.01","0.17","11","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Bunnahabhain 18yo","9.01","0.19","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Karuizawa 1990 Sherry Butt","9.01","0.27","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Aberlour A'Bunadh (Batch 36)","9.00","0.48","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Springbank 21yo","9.00","0.2","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 45)","8.99","0.26","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bowmore 15yo Laimrig","8.99","0.16","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Signet","8.99","0.40","18","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Fino Sherry Cask","8.99","0.34","10","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Tomatin 40yo","8.99","0.35","3","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour A'Bunadh (Batch 52)","8.98","0.17","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Hakushu Sherry Cask","8.98","0.43","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Kavalan Solist Vinho Barrique","8.98","0.34","13","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Amrut Portonova","8.97","0.29","16","$$$$","SingleMalt-like","ABC","C","India","Malt"
"Bruichladdich 21yo Cuvée 407 PX","8.97","0.18","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach vintage 19yo Single Cask (all vintages)","8.97","0.35","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 30)","8.96","0.17","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Intermediate Sherry","8.96","0.39","17","$$$$","SingleMalt-like","ABC","B","India","Malt"
"BenRiach 35yo","8.96","0.59","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Alpha","8.96","0.11","4","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Nikka Taketsuru 21yo","8.96","0.27","16","$$$$$","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (all batches)","8.95","0.16","23","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"BenRiach 17yo Solstice Peated Port (both editions)","8.95","0.27","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 40yo","8.95","0.81","3","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Millstone 12yo Sherry Cask","8.95","0.25","7","$$$$","SingleMalt-like","ABC","C","Netherlands","Malt"
"Aberlour A'Bunadh (Batch 54)","8.94","0.18","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 47)","8.93","0.32","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bushmills 21yo Single Malt","8.93","0.34","11","$$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 46)","8.92","0.05","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Amrut Kadhambam","8.92","0.28","12","$$$$","SingleMalt-like","ABC","C","India","Malt"
"BenRiach 17yo Solstice 2nd Peated Port Finish","8.92","0.41","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 4)","8.92","0.29","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 15yo Revival","8.91","0.28","19","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Cask Strength (all batches)","8.90","0.20","16","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.90","0.18","10","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 16yo Thor","8.90","0.32","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 21yo","8.90","0.40","16","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 13yo Green","8.90","0.21","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 17yo Solstice 1st Peated Port Finish","8.89","0.19","3","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach Cask Strength (batch 3)","8.89","0.39","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 10yo Sherry Oak Cask Strength","8.89","0.51","6","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 18yo Sherry Oak","8.89","0.34","16","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 34)","8.88","0.29","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"AnCnoc 1975","8.88","0.55","4","$$$$$+","SingleMalt-like","ABC","B","Scotland","Malt"
"Kilchoman PX Sherry Finish","8.88","0.20","7","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan Cask Strength","8.88","0.38","12","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 21yo","8.87","0.20","14","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.87","0.20","21","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Kilchoman Loch Gorm","8.87","0.26","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 12yo Cask Strength","8.87","0.25","16","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 25yo","8.85","0.51","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Companta","8.85","0.56","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 25yo Sherry Oak","8.85","0.46","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"White Oak Akashi 14yo","8.85","0.52","3","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Aberlour A'Bunadh (Batch 32)","8.84","0.67","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Bunnahabhain 25yo","8.84","0.36","15","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.84","0.13","5","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Teapot Dram (all batches)","8.84","0.44","6","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.83","0.46","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 15yo","8.83","0.37","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 18yo Latada","8.82","0.19","5","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"GlenDronach Cask Strength (batch 5)","8.82","0.16","8","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Green Spot Château Léoville Barton","8.82","0.34","7","$$$$","SingleMalt-like","ABC","C","Ireland","Blend"
"Longrow Red 11yo Australian Shiraz","8.82","0.34","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 12yo Pinot Noir Finish","8.82","0.34","6","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Bowmore 10yo Devil's Cask (all batches)","8.81","0.31","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig PX Triple Matured","8.81","0.57","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Royal Brackla 21yo","8.81","0.18","4","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 12yo Non-Chill-Filtered","8.79","0.24","11","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Aberlour A'Bunadh (Batch 48)","8.79","0.53","4","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 21yo Port Wood","8.79","0.37","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich Snow Pheonix","8.79","0.39","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Kavalan Solist Port Cask","8.79","0.44","5","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Knappogue Castle 16yo Twin Wood","8.79","0.48","5","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour A'Bunadh (Batch 42)","8.78","0.11","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Redbreast Lustau Edition","8.78","0.34","8","$$$$","SingleMalt-like","ABC","C","Ireland","Malt"
"Aberlour 18yo","8.77","0.27","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Arran Malt Amarone Cask Finish","8.77","0.34","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Compass Box This is Not a Luxury Whisky","8.77","0.46","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glen Garioch 15yo Renaissance Chapter 1","8.77","0.26","5","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Brooklyn","8.77","0.21","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Amrut PX Sherry Single Cask","8.76","0.45","8","$$$$","SingleMalt-like","ABC","A","India","Malt"
"Glenfarclas 17yo","8.76","0.27","17","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.76","0.28","20","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Ruby","8.76","0.22","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Aberlour A'Bunadh (Batch 50)","8.75","0.34","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength (batch 1)","8.75","0.46","4","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"AnCnoc 22yo","8.74","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Benromach 15yo","8.74","0.50","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 21yo Parliament","8.74","0.39","15","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Highland Park 15yo Fire","8.74","0.40","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Longmorn 16yo","8.74","0.33","17","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 1824 Sienna","8.74","0.34","17","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Teerenpeli Distiller’s Choice KARHI","8.74","0.11","3","$$$$","SingleMalt-like","ABC","C","Finland","Malt"
"Glenfarclas 25yo","8.73","0.28","12","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenrothes Minister's Reserve","8.73","0.17","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Kavalan Sherry Oak","8.73","0.28","5","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"GlenDronach 18yo Allardice","8.72","0.38","16","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfarclas 105","8.72","0.36","22","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 15yo","8.72","0.26","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Aberlour 16yo Double Cask Matured","8.71","0.18","12","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Balvenie 17yo Doublewood","8.71","0.23","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Red 11yo Port Cask","8.71","0.37","12","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Oban Distillers Edition (all vintages)","8.71","0.23","11","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sheep Dip 1999 Amoroso Blended Malt","8.71","0.56","3","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"GlenDronach 18yo Marsala Finish","8.70","0.11","3","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Taghta","8.70","0.31","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"BenRiach 12yo Matured in Sherry Wood","8.69","0.20","12","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne Cask Strength (batch 2)","8.69","0.40","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie A Midwinter Night’s Dram","8.69","0.28","5","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Rare Cask","8.69","0.41","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.69","0.34","13","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Springbank 15yo","8.69","0.24","17","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Tomatin 18yo","8.69","0.21","9","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glencadam 14yo Oloroso Sherry Cask Finish","8.68","0.51","4","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 16yo (F&F)","8.68","0.29","9","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Sullivans Cove French Oak","8.68","0.27","8","$$$$$+","SingleMalt-like","ABC","C","Tasmania","Malt"
